name, order, depencies, score
ghc-prim, 0, 0, 3653433
uniplate, 1, 0, 50
extensible-exceptions, 2, 0, 118
microlens, 3, 0, 41
monad-loops, 4, 0, 394
strict, 5, 0, 14
regex-compat, 6, 0, 20
regex-posix, 7, 0, 68
nats, 8, 0, 92
regex-base, 9, 0, 60
base-unicode-symbols, 10, 0, 8
fail, 11, 0, 2396
storable-complex, 12, 0, 27
pcre-light, 13, 0, 7
stringsearch, 14, 0, 191
composition, 15, 0, 8
regex-pcre, 16, 0, 4
haskell-src, 17, 0, 3
regex-pcre-builtin, 18, 0, 4
syz, 19, 0, 3
mersenne-random-pure64, 20, 0, 13
HaskellNet-SSL, 21, 0, 2
dns, 22, 0, 2
monadLib, 23, 0, 2
network-uri-flag, 24, 0, 2
regex-compat-tdfa, 25, 0, 2
mersenne-random, 26, 0, 2
json, 27, 0, 3
STMonadTrans, 28, 0, 3
readline, 29, 0, 2
runmemo, 30, 0, 1
hs-bibutils, 31, 0, 1
configurator-export, 32, 0, 1
data-or, 33, 0, 1
pointless-fun, 34, 0, 1
YampaSynth, 35, 0, 1
Clipboard, 36, 0, 1
exact-combinatorics, 37, 0, 1
prelude-safeenum, 38, 0, 1
base, 39, 1, 3233981
integer-gmp, 40, 1, 62
transformers, 41, 2, 240387
filepath, 42, 2, 26043
array, 43, 2, 932449
semigroups, 44, 2, 32136
split, 45, 2, 217
transformers-compat, 46, 2, 143242
tagged, 47, 2, 25731
data-default-class, 48, 2, 6227
old-locale, 49, 2, 2731
syb, 50, 2, 2979
base-compat, 51, 2, 526
safe, 52, 2, 654
unix-compat, 53, 2, 608
ansi-terminal, 54, 2, 476
memory, 55, 2, 29448
time-locale-compat, 56, 2, 588
base-orphans, 57, 2, 25215
base-prelude, 58, 2, 37
colour, 59, 2, 38
ghc-paths, 60, 2, 31
clock, 61, 2, 42
th-lift, 62, 2, 352
word8, 63, 2, 707
mtl-compat, 64, 2, 29
terminal-size, 65, 2, 11
fingertree, 66, 2, 32
setenv, 67, 2, 153
reflection, 68, 2, 656
xhtml, 69, 2, 78
hvect, 70, 2, 23
AC-Vector, 71, 2, 9
bindings-DSL, 72, 2, 10
ieee754, 73, 2, 19
srcloc, 74, 2, 8
terminfo, 75, 2, 8
auto-update, 76, 2, 1466
digest, 77, 2, 29
unbounded-delays, 78, 2, 31
data-ordlist, 79, 2, 5
hxt-charproperties, 80, 2, 156
focus, 81, 2, 12
newtype, 82, 2, 55
vinyl, 83, 2, 4
wl-pprint, 84, 2, 16
NumInstances, 85, 2, 9
universe-base, 86, 2, 13
setlocale, 87, 2, 5
ghc-tcplugins-extra, 88, 2, 48
html, 89, 2, 77
byteorder, 90, 2, 696
erf, 91, 2, 15
prelude-extras, 92, 2, 1922
refact, 93, 2, 5
th-data-compat, 94, 2, 28
polyparse, 95, 2, 136
dependent-sum, 96, 2, 3
utility-ht, 97, 2, 4
groups, 98, 2, 109
half, 99, 2, 29
oo-prototypes, 100, 2, 7
js-flot, 101, 2, 6
